iter	Passed	Remaining
542	3393	2856
543	3399	2849
544	3404	2842
545	3408	2834
546	3414	2828
547	3420	2820
548	3425	2813
549	3432	2808
550	3437	2801
551	3443	2794
552	3449	2788
553	3455	2782
554	3461	2775
555	3467	2769
556	3472	2761
557	3478	2755
558	3484	2749
559	3490	2742
560	3497	2737
561	3504	2731
562	3509	2724
563	3515	2717
564	3519	2709
565	3523	2702
566	3527	2694
567	3531	2686
568	3536	2678
569	3540	2670
570	3544	2663
571	3549	2656
572	3554	2648
573	3560	2642
574	3566	2635
575	3571	2629
576	3576	2621
577	3580	2614
578	3586	2607
579	3592	2601
580	3596	2593
581	3608	2591
582	3614	2585
583	3622	2580
584	3628	2573
585	3634	2567
586	3644	2564
587	3650	2557
588	3660	2553
589	3666	2548
590	3674	2542
591	3682	2537
592	3689	2532
593	3696	2526
594	3705	2522
595	3711	2515
596	3716	2508
597	3722	2502
598	3727	2495
599	3734	2489
600	3743	2485
601	3752	2480
602	3758	2474
603	3763	2467
604	3774	2464
605	3780	2458
606	3788	2452
607	3792	2445
608	3797	2438
609	3802	2431
610	3808	2424
611	3812	2416
612	3817	2410
613	3822	2403
614	3828	2396
615	3834	2390
616	3837	2382
617	3843	2375
618	3849	2369
619	3855	2362
620	3860	2355
621	3865	2349
622	3870	2342
623	3878	2336
624	3884	2330
625	3889	2323
626	3895	2317
627	3901	2310
628	3905	2303
629	3910	2296
630	3916	2290
631	3920	2283
632	3926	2276
633	3931	2269
634	3937	2263
635	3943	2256
636	3949	2250
637	3954	2243
638	3959	2237
639	3965	2230
640	3972	2224
641	3978	2218
642	3985	2212
643	3992	2206
644	4002	2203
645	4009	2197
646	4016	2191
647	4022	2185
648	4030	2180
649	4035	2172
650	4043	2167
651	4051	2162
652	4058	2156
653	4065	2150
654	4072	2145
655	4078	2138
656	4084	2132
657	4092	2126
658	4099	2121
659	4105	2114
660	4115	2110
661	4124	2105
662	4134	2101
663	4142	2096
664	4149	2090
665	4156	2084
666	4165	2079
667	4174	2074
668	4179	2068
669	4186	2061
670	4191	2054
671	4195	2047
672	4202	2041
673	4208	2035
674	4214	2029
675	4221	2023
676	4228	2017
677	4234	2010
678	4240	2004
679	4249	1999
680	4262	1996
681	4270	1991
682	4279	1986
683	4289	1981
684	4296	1975
685	4308	1972
686	4321	1968
687	4329	1963
688	4336	1957
689	4347	1953
690	4353	1947
691	4358	1939
692	4366	1934
693	4372	1927
694	4382	1923
695	4387	1916
696	4393	1909
697	4398	1902
698	4409	1898
699	4414	1892
700	4425	1887
701	4430	1880
702	4437	1874
703	4444	1868
704	4450	1862
705	4456	1855
706	4460	1848
707	4465	1841
708	4471	1835
709	4475	1827
710	4479	1820
711	4485	1814
712	4489	1807
713	4495	1800
714	4501	1794
715	4506	1787
716	4511	1780
717	4517	1774
718	4522	1767
719	4529	1761
720	4534	1754
721	4540	1748
722	4546	1742
723	4553	1735
724	4557	1728
725	4563	1722
726	4569	1715
727	4577	1710
728	4584	1704
729	4589	1697
730	4595	1691
731	4600	1684
732	4605	1677
733	4610	1670
734	4614	1663
735	4621	1657
736	4627	1651
737	4633	1644
738	4638	1638
739	4645	1632
740	4649	1625
741	4655	1618
742	4661	1612
743	4667	1605
744	4672	1599
745	4678	1592
746	4684	1586
747	4687	1579
748	4693	1572
749	4701	1567
750	4706	1560
751	4712	1553
752	4716	1547
753	4721	1540
754	4728	1534
755	4735	1528
756	4740	1521
757	4747	1515
758	4755	1509
759	4761	1503
760	4769	1497
761	4780	1493
762	4785	1486
763	4794	1481
764	4801	1474
765	4808	1469
766	4815	1462
767	4820	1456
768	4825	1449
769	4831	1443
770	4839	1437
771	4844	1430
772	4850	1424
773	4859	1418
774	4867	1413
775	4873	1406
776	4881	1401
777	4889	1395
778	4898	1389
779	4908	1384
780	4915	1378
781	4924	1372
782	4933	1367
783	4940	1361
784	4948	1355
785	4954	1348
786	4959	1342
787	4965	1335
788	4971	1329
789	4978	1323
790	4983	1316
791	4990	1310
792	4995	1304
793	4999	1297
794	5006	1290
795	5012	1284
796	5021	1278
797	5029	1273
798	5039	1267
799	5046	1261
800	5055	1256
801	5061	1249
802	5067	1243
803	5072	1236
804	5078	1230
805	5084	1223
806	5088	1216
807	5093	1210
808	5098	1203
809	5104	1197
810	5110	1190
811	5116	1184
812	5121	1177
813	5126	1171
814	5131	1164
815	5137	1158
816	5141	1151
817	5147	1145
818	5154	1139
819	5158	1132
820	5164	1125
821	5170	1119
822	5175	1113
823	5182	1106
824	5189	1100
825	5193	1094
826	5199	1087
827	5205	1081
828	5210	1074
829	5215	1068
830	5221	1061
831	5226	1055
832	5232	1048
833	5238	1042
834	5244	1036
835	5250	1029
836	5255	1023
837	5261	1017
838	5266	1010
839	5273	1004
840	5279	998
841	5289	992
842	5295	986
843	5300	979
844	5310	974
845	5316	967
846	5320	961
847	5326	954
848	5333	948
849	5339	942
850	5348	936
851	5358	930
852	5366	924
853	5374	918
854	5381	912
855	5387	906
856	5395	900
857	5401	893
858	5408	887
859	5415	881
860	5425	875
861	5432	869
862	5440	863
863	5448	857
864	5454	851
865	5462	845
866	5470	839
867	5475	832
868	5484	826
869	5492	820
870	5498	814
871	5508	808
872	5515	802
873	5520	795
874	5527	789
875	5533	783
876	5538	776
877	5544	770
878	5550	764
879	5556	757
880	5561	751
881	5566	744
882	5571	738
883	5575	731
884	5580	725
885	5586	718
886	5592	712
887	5598	706
888	5603	699
889	5609	693
890	5614	686
891	5620	680
892	5626	674
893	5631	667
894	5637	661
895	5643	655
896	5650	648
897	5655	642
898	5662	636
899	5667	629
900	5670	623
901	5677	616
902	5683	610
903	5688	604
904	5694	597
905	5698	591
906	5705	584
907	5710	578
908	5715	572
909	5720	565
910	5726	559
911	5733	553
912	5737	546
913	5743	540
914	5750	534
915	5755	527
916	5760	521
917	5767	515
918	5773	508
919	5778	502
920	5783	496
921	5788	489
922	5794	483
923	5798	476
924	5804	470
925	5809	464
926	5815	457
927	5820	451
928	5824	445
929	5828	438
930	5834	432
931	5839	426
932	5845	419
933	5851	413
934	5857	407
935	5861	400
936	5868	394
937	5873	388
938	5879	381
939	5885	375
940	5890	369
941	5896	363
942	5901	356
943	5906	350
944	5914	344
945	5919	337
946	5925	331
947	5931	325
948	5937	319
949	5945	312
950	5954	306
951	5963	300
952	5969	294
953	5977	288
954	5985	282
955	5992	275
956	5999	269
957	6005	263
958	6015	257
959	6022	250
960	6028	244
961	6036	238
962	6045	232
963	6053	226
964	6064	219
965	6070	213
966	6078	207
967	6085	201
968	6091	194
969	6096	188
970	6103	182
971	6114	176
972	6119	169
973	6126	163
974	6131	157
975	6136	150
976	6142	144
977	6146	138
978	6151	131
979	6156	125
980	6161	119
981	6165	113
982	6170	106
983	6175	100
984	6181	94
985	6186	87
986	6194	81
987	6198	75
988	6203	68
989	6209	62
990	6216	56
991	6224	50
992	6230	43
993	6237	37
994	6242	31
995	6249	25
996	6254	18
997	6260	12
998	6264	6
999	6271	0
